uid,namedLocation,domainID,siteID,plotID,subplotID,trapID,decimalLatitude,decimalLongitude,elevation,nlcdClass,plotType,geodeticDatum,coordinateUncertainty,elevationUncertainty,date,samplingProtocolVersion,targetTaxaPresent,trapType,trapPlacement,trapSize,remarks,recordedBy,publicationDate,release
987326ee-b82d-4d38-b473-efb16cf3a9ba,CLBJ_015.basePlot.ltr,D11,CLBJ,CLBJ_015,31_400,CLBJ_015_137,33.397741,-97.571244,273.7,deciduousForest,tower,WGS84,10.1,0.1,2014-11-02,NEON.DOC.001710vE,Y,Elevated,Random,0.5,"",jjamison@field-ops.org,20240104T224934Z,RELEASE-2024
ff635f9e-0129-45a6-be8c-3346d3323040,CLBJ_019.basePlot.ltr,D11,CLBJ,CLBJ_019,31_400,"",33.395844,-97.569673,281.9,grasslandHerbaceous,tower,WGS84,10.1,0.1,2016-08-31,NEON.DOC.001710vE,N,"","",,"",jjamison@field-ops.org,20240104T224934Z,RELEASE-2024
9a586ecc-22f9-4989-9daf-03f855645e41,CLBJ_013.basePlot.ltr,D11,CLBJ,CLBJ_013,31_400,"",33.397431,-97.567392,277.6,grasslandHerbaceous,tower,WGS84,10.1,0.1,2016-09-08,NEON.DOC.001710vE,N,"","",,"",jjamison@field-ops.org,20240104T224934Z,RELEASE-2024
68571ea8-8736-413f-b876-b37f40e56689,CLBJ_020.basePlot.ltr,D11,CLBJ,CLBJ_020,31_400,"",33.396611,-97.567385,277.4,grasslandHerbaceous,tower,WGS84,10.1,0.1,2016-09-08,NEON.DOC.001710vE,N,"","",,"",jjamison@field-ops.org,20240104T224934Z,RELEASE-2024
91659553-e454-4661-90ec-cedc73727acd,CLBJ_001.basePlot.ltr,D11,CLBJ,CLBJ_001,31_400,"",33.397987,-97.568339,278.1,deciduousForest,tower,WGS84,20.1,0.1,2016-09-08,NEON.DOC.001710vE,N,"","",,"",jjamison@field-ops.org,20240104T224934Z,RELEASE-2024
341c1d46-65a9-4324-8107-f21d9e99aa44,CLBJ_018.basePlot.ltr,D11,CLBJ,CLBJ_018,31_400,CLBJ_018_073,33.405618,-97.573378,266.8,deciduousForest,tower,WGS84,10.1,0.1,2016-11-02,NEON.DOC.001710vE,Y,Elevated,Random,0.5,"",jjamison@field-ops.org,20240104T224934Z,RELEASE-2024
252b1aa2-95e0-45dc-8096-6f0181eae24b,CLBJ_016.basePlot.ltr,D11,CLBJ,CLBJ_016,31_400,CLBJ_016_007,33.404775,-97.570476,262,deciduousForest,tower,WGS84,10.1,0.1,2016-11-02,NEON.DOC.001710vE,Y,Elevated,Random,0.5,"",ttillson@field-ops.org,20240104T224934Z,RELEASE-2024
758f5c63-ef79-4fcb-b52f-3c53c2eea589,CLBJ_028.basePlot.ltr,D11,CLBJ,CLBJ_028,31_400,CLBJ_028_018,33.401799,-97.570531,265.1,deciduousForest,tower,WGS84,10.1,0.1,2016-11-02,NEON.DOC.001710vE,Y,Elevated,Random,0.5,"",ttillson@field-ops.org,20240104T224934Z,RELEASE-2024
244dd91e-1911-455f-b26f-1ac135656121,CLBJ_023.basePlot.ltr,D11,CLBJ,CLBJ_023,31_400,CLBJ_023_015,33.397449,-97.568344,279.1,grasslandHerbaceous,tower,WGS84,10.1,0.1,2016-11-02,NEON.DOC.001710vE,Y,Elevated,Random,0.5,"",jjamison@field-ops.org,20240104T224934Z,RELEASE-2024
49f0ab02-25fd-448f-8b54-a9a8c4498940,CLBJ_026.basePlot.ltr,D11,CLBJ,CLBJ_026,31_400,CLBJ_026_152,33.403422,-97.569543,265.6,deciduousForest,tower,WGS84,10.1,0.1,2016-11-02,NEON.DOC.001710vE,Y,Elevated,Random,0.5,"",ttillson@field-ops.org,20240104T224934Z,RELEASE-2024
